route_color,route_id,route_stop_id,stop_name,vehicle_number,arrival_time,departure_time,actual_dwell_seconds
Red,20,274,Center St. Apartments & Hemphill Ave,2207,2026-09-21T16:23:31-04:00,2026-09-21T16:24:22-04:00,51.4
Green,17,209,GT Competition Center (575 14th Street),2201,2026-09-21T16:24:11-04:00,2026-09-21T16:24:28-04:00,17.4
Clough,28,388,5th Street Bridge EB,2302,2026-09-21T16:24:22-04:00,2026-09-21T16:24:51-04:00,29.3
Clough,28,390,College of Business,2309,2026-09-21T16:23:07-04:00,2026-09-21T16:24:51-04:00,103.9
Gold,29,401,College of Business,2308,2026-09-21T16:23:18-04:00,2026-09-21T16:24:57-04:00,98.5
Gold,29,420,Student Center,2306,2026-09-21T16:23:54-04:00,2026-09-21T16:25:09-04:00,74.7
Gold,29,396,MARTA Midtown Station,2307,2026-09-21T16:23:42-04:00,2026-09-21T16:25:09-04:00,86.8
Red,20,250,North Avenue Apts - To West Campus,2210,2026-09-21T16:20:03-04:00,2026-09-21T16:25:15-04:00,312.2
Blue,21,302,COP & North Ave.,2206,2026-09-21T16:24:40-04:00,2026-09-21T16:25:15-04:00,35.0
Gold,29,408,Ferst Dr & Hemphill Ave,2303,2026-09-21T16:24:22-04:00,2026-09-21T16:25:15-04:00,53.1
Clough,28,386,Technology Square WB,2301,2026-09-21T16:24:05-04:00,2026-09-21T16:25:27-04:00,81.5
Clough,28,391,Academy of Medicine,2309,2026-09-21T16:25:03-04:00,2026-09-21T16:25:39-04:00,35.8
Gold,29,402,Academy of Medicine,2308,2026-09-21T16:25:09-04:00,2026-09-21T16:25:45-04:00,36.7
Northside Dr. - Atlantic Station,26,363,MARTA Stop (17th & State),2209,2026-09-21T16:24:11-04:00,2026-09-21T16:25:59-04:00,107.9
Clough,28,387,5th Street Bridge WB,2301,2026-09-21T16:25:39-04:00,2026-09-21T16:26:11-04:00,31.7
Blue,21,463,Ferst Dr. and Weber Building,2214,2026-09-21T16:23:18-04:00,2026-09-21T16:26:16-04:00,177.8
Emory,18,478,Baker Building on State St.,2304,2026-09-21T16:26:05-04:00,2026-09-21T16:26:28-04:00,23.0
Gold,29,409,Cherry Emerson,2303,2026-09-21T16:25:51-04:00,2026-09-21T16:26:35-04:00,44.4
Gold,29,407,Exhibition Hall,2306,2026-09-21T16:25:51-04:00,2026-09-21T16:26:48-04:00,57.3
Red,20,278,Techwood Dr & 5th St - South,2215,2026-09-21T16:24:51-04:00,2026-09-21T16:26:54-04:00,122.7
Clough,28,389,Technology Square EB,2302,2026-09-21T16:25:21-04:00,2026-09-21T16:27:00-04:00,99.0
Red,20,272,Paper Tricentennial,2207,2026-09-21T16:24:34-04:00,2026-09-21T16:27:12-04:00,158.1
Blue,21,305,Student Center,2214,2026-09-21T16:26:54-04:00,2026-09-21T16:27:36-04:00,41.9
Gold,29,410,Klaus Building EB,2303,2026-09-21T16:26:41-04:00,2026-09-21T16:27:42-04:00,61.1
Red,20,279,Techwood Dr & Bobby Dodd Way,2215,2026-09-21T16:27:00-04:00,2026-09-21T16:27:48-04:00,48.2
Green,17,213,Graduate Living Center,2216,2026-09-21T16:26:54-04:00,2026-09-21T16:27:54-04:00,60.1
Red,20,264,Brown Residence Hall,2210,2026-09-21T16:27:36-04:00,2026-09-21T16:28:21-04:00,44.8
Blue,21,301,Weber Building Loop,2204,2026-09-21T16:22:09-04:00,2026-09-21T16:28:21-04:00,371.2
Green,17,210,14th St & State St,2201,2026-09-21T16:28:02-04:00,2026-09-21T16:28:50-04:00,48.0
Clough,28,390,College of Business,2302,2026-09-21T16:27:18-04:00,2026-09-21T16:28:50-04:00,91.3
Red,20,265,Techwood Dr & Field Residence Hall,2210,2026-09-21T16:28:26-04:00,2026-09-21T16:29:02-04:00,35.3
Northside Dr. - Atlantic Station,26,364,MARTA Stop (17th & Village),2209,2026-09-21T16:27:12-04:00,2026-09-21T16:29:02-04:00,109.6
Gold,29,408,Ferst Dr & Hemphill Ave,2306,2026-09-21T16:27:48-04:00,2026-09-21T16:29:02-04:00,73.8
Gold,29,404,Publix at the Plaza,2307,2026-09-21T16:25:39-04:00,2026-09-21T16:29:02-04:00,202.7
